Data Base,Taxa Compra Manha,Taxa Venda Manha,PU Compra Manha,PU Venda Manha,PU Base Manha
2022-07-19,13.44,13.56,734.36,732.09,732.09
2022-08-19,12.21,12.33,762.19,759.93,759.93
2022-08-26,12.13,12.25,765.21,762.95,762.95
2022-07-28,13.1,13.22,742.31,740.04,740.04
2022-08-30,12.13,12.25,765.91,763.65,763.65
2022-06-09,12.58,12.7,738.73,736.37,736.37
2022-07-20,13.51,13.63,733.62,731.35,731.35
2022-07-05,12.85,12.97,740.23,737.92,737.92
2022-07-18,13.18,13.3,738.13,735.85,735.85
2022-06-14,12.83,12.95,735.61,733.27,733.27
2022-06-28,12.76,12.88,739.94,737.61,737.61
2022-07-29,12.9,13.02,745.85,743.58,743.58
2022-06-29,12.93,13.05,737.5,735.19,735.19
2022-06-24,12.39,12.51,745.37,743.03,743.03
2022-06-30,12.92,13.04,738.02,735.71,735.71
2022-07-25,13.24,13.36,738.99,736.72,736.72
2022-06-10,12.57,12.69,739.24,736.89,736.89
2022-06-13,12.76,12.88,736.42,734.07,734.07
2022-07-04,12.76,12.88,741.35,739.03,739.03
2022-06-15,13.05,13.17,732.33,730.0,730.0
2022-06-23,12.42,12.54,744.53,742.18,742.18
2022-08-02,12.6,12.72,751.37,749.09,749.09
2022-06-17,12.76,12.88,737.47,735.13,735.13
2022-06-22,12.45,12.57,743.68,741.33,741.33
2022-07-06,12.92,13.04,739.45,737.14,737.14
2022-07-01,12.73,12.85,741.49,739.17,739.17
2022-09-01,12.01,12.13,768.51,766.26,766.26
2022-08-18,11.93,12.05,766.35,764.07,764.07
2022-09-20,12.03,12.15,772.36,770.13,770.13
2022-09-22,11.69,11.81,778.4,776.16,776.16
2022-09-19,12.15,12.27,770.13,767.91,767.91
2022-09-16,12.08,12.2,770.88,768.65,768.65
2022-09-09,11.81,11.93,773.42,771.17,771.17
2022-09-05,11.83,11.95,772.07,769.81,769.81
2022-08-05,12.06,12.18,761.15,758.86,758.86
2022-09-13,11.81,11.93,774.1,771.86,771.86
2022-08-01,12.75,12.87,748.61,746.33,746.33
2022-08-08,12.05,12.17,761.66,759.37,759.37
2022-09-12,11.69,11.81,775.67,773.42,773.42
2022-07-08,12.85,12.97,741.3,738.99,738.99
2022-07-26,13.19,13.31,740.15,737.88,737.88
2022-08-23,12.1,12.22,764.65,762.38,762.38
2022-07-07,12.93,13.05,739.64,737.34,737.34
2020-05-12,6.37,6.49,751.27,747.36,747.18
2020-07-15,5.65,5.77,782.93,778.98,778.81
2020-05-27,6.09,6.21,762.47,758.52,758.34
2020-02-10,6.16,6.28,747.29,743.19,743.01
2019-11-19,6.33,6.45,731.44,727.25,726.89
2019-11-21,6.41,6.53,728.82,724.65,724.47
2019-12-02,6.52,6.64,726.27,722.14,721.96
2019-11-28,6.65,6.77,721.43,717.33,717.14
2020-02-18,6.0,6.12,753.85,749.72,749.55
2019-12-27,6.51,6.63,729.9,725.81,725.62
2020-03-20,7.67,7.79,703.13,699.41,699.2
2020-03-30,6.85,6.97,730.38,726.5,726.3
2020-02-19,6.04,6.16,752.65,748.53,748.35
2020-02-27,6.28,6.4,745.17,741.12,740.93
2020-01-09,6.38,6.5,735.81,731.7,731.52
2020-01-13,6.37,6.49,736.51,732.41,732.23
2019-12-16,6.34,6.46,734.31,730.16,729.98
2020-01-07,6.45,6.57,733.04,728.95,728.77
2020-01-14,6.45,6.57,733.95,729.87,729.69
2020-01-15,6.3,6.42,739.27,735.16,734.98
2019-12-17,6.47,6.59,730.0,725.88,725.7
2019-11-18,6.25,6.37,733.9,729.68,729.5
2019-12-05,6.41,6.53,730.62,726.47,726.29
2019-12-19,6.57,6.69,726.93,722.84,722.66
2020-02-21,6.06,6.18,752.31,748.2,748.03
2020-03-17,6.95,7.07,725.4,721.52,721.33
2020-03-18,7.46,7.58,709.3,705.53,705.33
2019-12-23,6.59,6.71,726.8,722.72,722.35
2020-07-07,5.63,5.75,782.57,778.6,778.43
2020-07-08,5.75,5.87,778.77,774.83,774.66
2020-04-28,7.21,7.33,722.6,718.84,718.64
2020-04-29,6.62,6.74,741.64,737.76,737.57
2020-07-29,5.46,5.58,790.89,786.93,786.76
2020-04-30,6.57,6.69,743.45,739.56,739.37
2020-05-04,6.74,6.86,738.14,734.29,734.1
2020-07-13,5.65,5.77,782.59,778.63,778.46
2020-07-21,5.58,5.7,785.92,781.97,781.79
2020-05-20,6.54,6.66,746.87,743.0,742.81
