Data Base,Taxa Compra Manha,Taxa Venda Manha,PU Compra Manha,PU Venda Manha,PU Base Manha
2022-07-08,6.07,6.19,1878.75,1850.07,1850.07
2022-07-19,6.22,6.34,1847.92,1821.39,1821.39
2022-07-07,6.03,6.15,1887.01,1858.98,1858.98
2022-08-19,5.85,5.97,1929.97,1902.42,1902.42
2022-08-26,5.8,5.92,1941.85,1914.35,1914.35
2022-07-28,6.24,6.36,1842.95,1816.57,1816.57
2022-08-15,5.82,5.94,1936.04,1908.08,1908.08
2022-08-30,5.92,6.04,1914.64,1887.16,1887.16
2022-06-09,5.69,5.81,1945.69,1916.74,1916.74
2022-07-20,6.26,6.38,1839.13,1812.74,1812.74
2022-07-05,5.98,6.1,1896.65,1868.45,1868.45
2022-07-18,6.07,6.19,1881.53,1854.48,1854.48
2022-06-14,5.7,5.82,1946.07,1917.14,1917.14
2022-06-28,5.9,6.02,1909.66,1881.22,1881.22
2022-07-29,6.22,6.34,1846.64,1820.99,1820.99
2022-06-29,5.91,6.03,1908.25,1879.84,1879.84
2022-06-24,5.75,5.87,1942.22,1912.49,1912.49
2022-06-30,5.89,6.01,1913.78,1885.29,1885.29
2022-07-25,6.15,6.27,1863.04,1836.31,1836.31
2022-06-10,5.67,5.79,1951.75,1922.13,1922.13
2022-06-13,5.77,5.89,1928.84,1900.17,1900.17
2022-07-04,5.94,6.06,1904.94,1876.61,1876.61
2022-06-15,5.74,5.86,1937.87,1908.56,1908.56
2022-06-23,5.75,5.87,1940.55,1911.65,1911.65
2022-08-02,6.19,6.31,1853.39,1826.87,1826.87
2022-06-17,5.71,5.83,1946.63,1916.78,1916.78
2022-06-22,5.72,5.84,1946.79,1917.78,1917.78
2022-07-06,6.01,6.13,1890.68,1862.58,1862.58
2022-07-01,5.86,5.98,1922.58,1893.04,1893.04
2022-08-23,5.86,5.98,1928.24,1900.45,1900.45
2022-09-01,5.93,6.05,1912.82,1885.39,1885.39
2022-08-18,5.77,5.89,1948.56,1920.44,1920.44
2022-09-20,5.82,5.94,1939.61,1911.75,1911.75
2022-09-19,5.91,6.03,1918.58,1891.03,1891.03
2022-09-16,5.88,6.0,1925.08,1897.58,1897.58
2022-09-09,5.73,5.85,1958.63,1931.02,1931.02
2022-09-05,5.79,5.91,1945.12,1917.22,1917.22
2022-09-22,5.71,5.83,1965.9,1937.66,1937.66
2022-09-12,5.76,5.88,1951.83,1923.88,1923.88
2022-08-05,5.95,6.07,1906.85,1880.34,1880.34
2022-09-13,5.85,5.97,1931.2,1903.57,1903.57
2022-08-01,6.21,6.33,1848.9,1822.44,1822.44
2022-08-08,5.93,6.05,1911.46,1884.1,1884.1
2022-07-26,6.19,6.31,1854.17,1827.58,1827.58
2014-07-04,6.18,6.28,704.04,690.39,689.96
2014-07-11,6.14,6.24,711.18,697.4,696.96
2014-07-14,6.14,6.24,711.44,697.66,697.4
2014-07-16,6.15,6.25,710.5,696.75,696.53
2014-07-21,5.99,6.09,733.9,719.68,719.46
2014-02-11,7.0,7.1,566.95,555.84,555.6
2014-03-13,6.95,7.05,579.79,568.47,568.17
2014-03-14,6.94,7.04,581.51,570.16,569.59
2014-04-23,6.68,6.78,623.07,610.94,610.62
2014-01-09,6.67,6.77,597.35,585.57,585.26
2014-02-13,7.05,7.15,561.87,550.88,550.63
2014-04-24,6.65,6.75,627.08,614.87,614.55
2014-01-13,6.67,6.77,598.86,587.05,586.73
2014-02-14,6.99,7.09,569.09,557.95,557.44
2014-03-21,7.02,7.12,574.16,562.97,562.41
2014-03-24,7.01,7.11,575.74,564.52,564.21
2014-04-25,6.62,6.72,631.45,619.16,618.51
2014-01-14,6.69,6.79,596.81,585.04,584.72
2014-01-15,6.78,6.88,586.5,574.95,574.66
2014-03-27,6.83,6.93,597.47,585.82,585.51
2014-04-28,6.61,6.71,633.02,620.7,620.38
2014-01-16,6.8,6.9,584.46,572.96,572.67
2014-10-14,5.55,5.65,816.85,801.14,800.82
2014-07-24,5.88,5.98,750.25,735.71,735.52
2014-09-11,5.64,5.74,793.97,778.65,778.42
2014-10-15,5.59,5.69,810.83,795.25,794.95
2014-09-15,5.91,6.01,753.94,739.44,739.17
2014-07-31,6.07,6.17,723.92,709.93,709.74
2014-09-30,6.28,6.38,705.25,691.76,691.48
2014-10-01,6.17,6.27,720.7,706.9,706.62
2014-08-06,6.21,6.31,705.25,691.65,691.45
2014-10-16,5.84,5.94,772.77,757.96,757.66
2014-08-01,6.13,6.23,715.75,701.92,701.67
2014-08-13,6.06,6.16,726.46,712.44,712.27
2014-05-26,6.14,6.24,700.98,687.32,687.06
2014-05-22,6.14,6.24,700.23,686.58,686.31
2014-08-14,6.17,6.27,711.22,697.52,697.35
2014-08-19,5.77,5.87,769.74,754.86,754.63
2014-08-07,6.06,6.16,726.38,712.36,712.16
2014-08-08,6.11,6.21,718.9,705.02,704.85
2014-05-27,6.14,6.24,701.25,687.59,687.32
2014-09-05,5.39,5.49,832.7,816.59,816.22
2014-06-04,6.2,6.3,694.86,681.34,681.08
2014-08-11,6.05,6.15,727.53,713.48,713.31
2014-05-28,6.2,6.3,693.29,679.8,679.53
2014-06-09,6.05,6.15,716.64,702.69,702.42
2014-06-18,6.18,6.28,700.65,687.05,686.72
2014-06-24,6.2,6.3,698.89,685.33,685.07
2014-09-18,5.81,5.91,769.58,754.77,754.49
2014-09-19,5.87,5.97,761.14,746.5,746.02
2014-06-11,6.12,6.22,707.66,693.9,693.36
2014-06-12,6.06,6.16,716.05,702.12,701.85
2014-08-20,5.79,5.89,766.97,752.14,751.92
2014-08-21,5.84,5.94,759.78,745.1,744.87
2014-06-13,6.06,6.16,716.51,702.58,702.12
2014-06-16,5.97,6.07,729.81,715.61,715.11
2014-08-22,5.91,6.01,749.83,735.36,735.01
2014-06-26,6.14,6.24,707.67,693.94,693.68
2014-08-25,5.8,5.9,766.32,751.52,751.29
2014-07-03,6.22,6.32,698.54,685.02,684.34
2014-09-01,5.47,5.57,818.7,802.85,802.61
2014-07-07,6.16,6.26,707.57,693.86,693.1
2020-05-11,4.52,4.64,1704.97,1675.95,1675.82
2020-05-12,4.43,4.55,1727.2,1697.79,1697.66
2020-06-29,4.13,4.25,1807.9,1777.29,1776.84
2020-07-15,3.73,3.85,1920.11,1887.58,1886.98
2019-11-19,3.19,3.31,1998.62,1963.12,1962.09
2020-03-27,4.46,4.58,1715.86,1686.43,1685.95
2019-11-21,3.22,3.34,1990.2,1954.87,1954.35
2019-12-02,3.37,3.49,1951.02,1916.49,1915.96
2019-11-28,3.41,3.53,1937.84,1903.54,1903.01
2020-02-18,3.24,3.36,2035.72,2000.14,1999.79
2019-12-27,3.41,3.53,1958.97,1924.48,1922.27
2020-03-20,4.83,4.95,1624.89,1597.08,1596.6
2020-01-09,3.4,3.52,1971.25,1936.61,1935.69
2019-12-16,3.19,3.31,2012.73,1977.14,1976.39
2020-01-07,3.42,3.54,1963.58,1929.07,1928.15
2020-01-14,3.44,3.56,1965.67,1931.17,1930.19
2020-02-27,3.42,3.54,1984.88,1950.3,1949.94
2020-01-13,3.39,3.51,1979.25,1944.48,1943.5
2020-01-15,3.35,3.47,1992.46,1957.46,1956.98
2019-12-17,3.26,3.38,1992.64,1957.44,1956.69
2019-11-18,3.15,3.27,2009.58,1973.85,1973.34
2019-12-05,3.36,3.48,1955.51,1920.93,1920.4
2019-12-19,3.4,3.52,1953.13,1918.7,1917.95
2020-02-21,3.26,3.38,2031.28,1995.82,1995.04
2020-03-17,4.1,4.22,1804.43,1773.3,1772.95
2020-03-18,4.46,4.58,1713.12,1683.67,1683.32
2019-12-23,3.45,3.57,1944.25,1910.01,1907.56
2020-07-06,3.83,3.95,1889.5,1857.46,1857.01
2020-07-07,3.87,3.99,1879.21,1847.37,1846.91
2020-07-08,3.91,4.03,1868.98,1837.33,1836.88
2020-04-28,4.54,4.66,1702.13,1673.11,1672.83
2020-07-29,3.5,3.62,1990.07,1956.38,1955.87
2020-04-29,4.27,4.39,1768.19,1737.97,1737.79
2020-04-30,4.25,4.37,1773.07,1742.77,1742.97
2020-07-13,3.72,3.84,1921.81,1889.23,1888.78
2020-07-21,3.63,3.75,1950.69,1917.65,1917.05
2020-05-20,4.42,4.54,1729.86,1700.44,1700.35
2020-05-21,4.4,4.52,1734.91,1705.4,1705.31
2020-05-04,4.41,4.53,1732.97,1703.4,1703.23
2020-05-29,4.22,4.34,1779.02,1748.77,1749.23
2020-07-23,3.6,3.72,1960.24,1927.05,1926.45
2020-07-22,3.6,3.72,1959.64,1926.45,1925.86
2020-07-14,3.76,3.88,1911.33,1878.95,1878.5
2020-07-24,3.55,3.67,1975.5,1942.04,1940.8
2020-04-23,4.14,4.26,1802.08,1771.21,1770.94
2020-04-24,4.32,4.44,1756.21,1726.18,1725.95
2020-07-10,3.79,3.91,1902.28,1870.05,1869.28
2020-05-05,4.24,4.36,1775.96,1745.62,1745.45
2020-04-09,4.64,4.76,1674.83,1646.21,1645.76
2020-06-08,4.09,4.21,1812.04,1781.24,1781.21
2020-07-09,3.88,4.0,1877.44,1845.64,1845.19
2015-10-02,7.37,7.45,673.53,663.8,663.27
2015-10-07,7.23,7.31,692.0,682.0,681.68
2015-10-05,7.23,7.31,691.22,681.23,680.92
2015-09-11,7.55,7.63,646.79,637.43,637.11
2015-11-23,6.83,6.91,759.56,748.61,748.19
