Data Base,Taxa Compra Manha,Taxa Venda Manha,PU Compra Manha,PU Venda Manha,PU Base Manha
2022-07-08,12.97,13.09,455.04,451.71,451.71
2022-07-19,13.46,13.58,444.05,440.82,440.82
2022-07-07,13.09,13.21,451.71,448.4,448.4
2022-08-19,12.12,12.24,484.33,480.83,480.83
2022-08-26,12.07,12.19,486.8,483.3,483.3
2022-07-28,13.21,13.33,451.95,448.67,448.67
2022-08-15,12.0,12.12,486.75,483.23,483.23
2022-08-30,12.14,12.26,485.32,481.84,481.84
2022-06-09,12.67,12.79,458.55,455.16,455.16
2022-07-05,12.95,13.07,454.9,451.56,451.56
2022-07-18,13.19,13.31,450.68,447.4,447.4
2022-06-14,12.9,13.02,453.14,449.79,449.79
2022-06-28,12.89,13.01,455.37,452.02,452.02
2022-07-29,13.03,13.15,456.8,453.49,453.49
2022-06-29,13.05,13.17,451.42,448.11,448.11
2022-06-24,12.57,12.69,463.4,459.98,459.98
2022-06-30,12.96,13.08,453.98,450.65,450.65
2022-07-25,13.38,13.5,446.96,443.72,443.72
2022-06-10,12.7,12.82,457.97,454.58,454.58
2022-06-13,12.88,13.0,453.44,450.09,450.09
2022-07-04,12.9,13.02,455.98,452.64,452.64
2022-06-15,13.12,13.24,447.64,444.33,444.33
2022-06-23,12.55,12.67,463.71,460.29,460.29
2022-08-02,12.71,12.83,465.6,462.22,462.22
2022-06-17,12.92,13.04,453.05,449.71,449.71
2022-06-22,12.61,12.73,461.89,458.49,458.49
2022-07-06,13.05,13.17,452.52,449.21,449.21
2022-07-01,12.85,12.97,457.07,453.72,453.72
2022-08-23,12.09,12.21,485.59,482.09,482.09
2022-09-01,12.09,12.21,487.13,483.64,483.64
2022-08-18,11.87,11.99,491.01,487.46,487.46
2022-09-20,11.87,11.99,495.84,492.31,492.31
2022-09-19,12.06,12.18,490.38,486.89,486.89
2022-09-16,11.99,12.11,492.08,488.57,488.57
2022-09-09,11.62,11.74,501.29,497.7,497.7
2022-09-05,11.83,11.95,494.75,491.2,491.2
2022-09-22,11.54,11.66,505.52,501.92,501.92
2022-09-12,11.5,11.62,504.91,501.29,501.29
2022-08-05,12.33,12.45,476.41,472.96,472.96
2022-09-13,11.62,11.74,501.73,498.14,498.14
2022-08-01,12.83,12.95,462.22,458.87,458.87
2022-08-08,12.24,12.36,479.08,475.6,475.6
2022-07-26,13.31,13.43,448.96,445.7,445.7
