Data Base,Taxa Compra Manha,Taxa Venda Manha,PU Compra Manha,PU Venda Manha,PU Base Manha
2022-07-19,6.24,6.36,3122.58,3108.15,3108.15
2022-07-07,5.86,5.98,3162.44,3146.3,3146.3
2022-08-19,5.66,5.78,3188.74,3174.39,3174.39
2022-08-26,5.63,5.75,3192.71,3178.71,3178.71
2022-07-28,6.18,6.3,3128.81,3114.47,3114.47
2022-08-30,5.78,5.9,3175.58,3161.01,3161.01
2022-06-09,5.46,5.58,3178.86,3162.64,3162.64
2022-07-20,6.35,6.47,3109.59,3095.24,3095.24
2022-07-05,5.79,5.91,3168.08,3151.87,3151.87
2022-07-18,6.05,6.17,3145.31,3130.75,3130.75
2022-06-14,5.5,5.62,3178.26,3162.09,3162.09
2022-06-28,5.61,5.73,3181.45,3165.11,3165.11
2022-07-29,6.03,6.15,3145.44,3132.38,3132.38
2022-06-29,5.7,5.82,3171.76,3155.48,3155.48
2022-06-24,5.49,5.61,3192.37,3174.68,3174.68
2022-06-30,5.72,5.84,3170.75,3154.49,3154.49
2022-07-25,6.12,6.24,3136.09,3121.65,3121.65
2022-06-10,5.43,5.55,3184.75,3167.56,3167.56
2022-06-13,5.52,5.64,3174.59,3158.43,3158.43
2022-07-04,5.73,5.85,3173.99,3157.75,3157.75
2022-06-15,5.53,5.65,3176.52,3159.51,3159.51
2022-06-23,5.54,5.66,3183.41,3167.1,3167.1
2022-08-02,5.85,5.97,3167.16,3152.69,3152.69
2022-06-17,5.39,5.51,3196.82,3179.03,3179.03
2022-06-22,5.45,5.57,3193.31,3176.95,3176.95
2022-07-06,5.82,5.94,3165.86,3149.69,3149.69
2022-07-01,5.64,5.76,3183.66,3165.81,3165.81
2022-08-23,5.62,5.74,3194.46,3179.63,3179.63
2022-09-01,5.82,5.94,3171.59,3157.07,3157.07
2022-08-18,5.59,5.71,3197.18,3182.3,3182.3
2022-09-20,5.74,5.86,3183.38,3168.76,3168.76
2022-09-19,5.79,5.91,3176.94,3162.34,3162.34
2022-09-16,5.78,5.9,3177.53,3163.17,3163.17
2022-09-22,5.56,5.68,3205.68,3190.99,3190.99
2022-09-09,5.62,5.74,3194.51,3180.73,3180.73
2022-09-05,5.68,5.8,3188.21,3173.65,3173.65
2022-08-05,5.41,5.53,3219.33,3206.02,3206.02
2022-09-13,5.69,5.81,3186.88,3172.42,3172.42
2022-08-01,5.89,6.01,3162.3,3147.84,3147.84
2022-08-08,5.35,5.47,3226.68,3211.98,3211.98
2022-09-12,5.58,5.7,3199.57,3185.04,3185.04
2022-07-08,5.84,5.96,3166.27,3148.79,3148.79
2022-07-26,6.16,6.28,3131.41,3117.0,3117.0
2020-05-12,3.42,3.54,2676.84,2657.51,2657.42
2020-07-15,2.23,2.35,2885.38,2864.9,2864.17
2020-05-27,2.87,2.99,2765.17,2745.23,2745.31
2020-03-27,3.78,3.9,2615.31,2596.14,2595.47
2020-02-18,2.53,2.65,2809.76,2788.58,2788.15
2020-03-20,4.01,4.13,2576.06,2557.16,2556.48
2020-03-30,3.63,3.75,2639.96,2620.6,2620.12
2020-02-19,2.56,2.68,2804.86,2783.74,2783.31
2020-02-27,2.69,2.81,2784.36,2763.47,2763.02
